iter	Logloss
0	0.6422052532
1	0.6120914023
2	0.5890104078
3	0.5713326087
4	0.5553966873
5	0.5453574276
6	0.5362207961
7	0.5293088469
8	0.5198334701
9	0.5151074009
10	0.5090312972
11	0.5054625855
12	0.4998528054
13	0.4971208801
14	0.4951111637
15	0.4923639243
16	0.490339525
17	0.4882065541
18	0.4847995889
19	0.4829734325
20	0.4798268408
21	0.4780959444
22	0.4767163211
23	0.4756279978
24	0.4745813172
25	0.4728399667
26	0.4716108825
27	0.4700891161
28	0.4687030182
29	0.4672570345
30	0.4659181831
31	0.4621903623
32	0.4613614353
33	0.4593190162
34	0.4574091622
35	0.4561798034
36	0.4553891135
37	0.4542133326
38	0.4532704823
39	0.45219489
40	0.450809013
41	0.4498128582
42	0.4492125884
43	0.4485234863
44	0.4475690207
45	0.4469045766
46	0.446268635
47	0.4450817118
48	0.4441884788
49	0.4433038886
50	0.4427003261
51	0.4422146187
52	0.441843144
53	0.441319708
54	0.4403514178
55	0.4395496952
56	0.4390946
57	0.4383703668
58	0.437734217
59	0.436870187
60	0.4363445602
61	0.4355306144
62	0.4348584657
63	0.4343526804
64	0.4335892238
65	0.4328906865
66	0.432188795
67	0.4317615008
68	0.4306959277
69	0.4301785766
70	0.4294562238
71	0.4286730529
72	0.4282689897
73	0.427739072
74	0.427195099
75	0.4265055847
76	0.4256585972
77	0.4250451839
78	0.4244963376
79	0.4233539083
80	0.4222251005
81	0.4206388056
82	0.4199522255
83	0.419049505
84	0.4167932762
85	0.4163709342
86	0.41587582
87	0.4151664783
88	0.413666396
89	0.4130719406
90	0.4122986537
91	0.411503045
92	0.4110728313
93	0.4105064271
94	0.4097002776
95	0.4091927971
96	0.4085997486
97	0.4078579013
98	0.4074554891
99	0.4063493116
100	0.4057666942
101	0.4050691156
102	0.4045563518
103	0.4040708565
104	0.4035147439
105	0.4028732982
106	0.4024232968
107	0.4018123386
108	0.4015963547
109	0.4011681255
110	0.4004081497
111	0.399814839
112	0.3993383333
113	0.3989592669
114	0.3983412706
115	0.3979281786
116	0.39711118
117	0.3967175263
118	0.3963036734
119	0.3957909867
120	0.3953840636
121	0.3948540656
122	0.3941432236
123	0.3936177119
124	0.392832553
125	0.3921053156
126	0.391412008
127	0.3909858993
128	0.3905449724
129	0.3899434785
130	0.3895831126
131	0.3893055574
132	0.3888548669
133	0.3883540242
134	0.3878745662
135	0.3874972605
136	0.3870683107
137	0.3864576474
138	0.3857345904
139	0.3851337162
140	0.3845460515
141	0.3841385606
142	0.3837108357
143	0.3833785504
144	0.383082553
145	0.3825460281
146	0.3819860192
147	0.3815759721
148	0.3811162533
149	0.3807729667
150	0.3803342313
151	0.37984207
152	0.3795341831
153	0.3790803684
154	0.3781955621
155	0.3776344609
156	0.3773129123
157	0.3768476264
158	0.37658723
159	0.376087034
160	0.3757550801
161	0.3750069911
162	0.3745211749
163	0.3740426818
164	0.3736492337
165	0.3732080074
166	0.372670238
167	0.3723000527
168	0.3718963379
169	0.3714244351
170	0.3709541049
171	0.3705969028
172	0.3702684415
173	0.3698144195
174	0.3693782427
175	0.3691103145
176	0.368723556
177	0.3683816272
178	0.3679824186
179	0.3675973747
180	0.3673545768
181	0.3669755225
182	0.3665239528
183	0.3661547506
184	0.3658289987
185	0.3654242525
186	0.364964597
187	0.3646608505
188	0.3640460292
189	0.3636659174
190	0.3632414441
191	0.3629444363
192	0.3626890855
193	0.3626819077
194	0.3624320149
195	0.3621001852
196	0.3616150585
197	0.3612887162
198	0.3608580451
199	0.3605665681
200	0.3601456263
201	0.3598038776
202	0.3595655213
203	0.3591150577
204	0.3587487128
205	0.3583971939
206	0.3581640094
207	0.3577955584
208	0.3574354996
209	0.3571908136
210	0.3569445269
211	0.3565112502
212	0.3565048062
213	0.3562706227
214	0.3558751897
215	0.3554026641
216	0.3551272773
217	0.3546748976
218	0.3542574223
219	0.3538160829
220	0.3537996384
221	0.3534102339
222	0.3529499136
223	0.3527056963
224	0.3524324289
225	0.3518817398
226	0.3516654455
227	0.3511996841
228	0.3508798959
229	0.3507228228
230	0.3503477511
231	0.3500060459
232	0.349604065
233	0.3493159532
234	0.3489744784
235	0.3486040932
236	0.3483883468
237	0.3481178373
238	0.3476908844
239	0.3474605844
240	0.347189055
241	0.3469797151
242	0.3466655332
243	0.3465457556
244	0.3463115064
245	0.3461213081
246	0.3458120255
247	0.3454595654
248	0.3452466326
249	0.3449906433
250	0.3446258465
251	0.3443902527
252	0.3440736648
253	0.3435930056
254	0.3433242591
255	0.3431007662
256	0.3428908204
257	0.3425270922
258	0.3421398677
259	0.3419664835
260	0.341644306
261	0.3414034389
262	0.3411504478
263	0.3409608915
264	0.3406787676
265	0.3404976854
266	0.3403188168
267	0.3399697203
268	0.3397555725
269	0.3394854211
270	0.3392777309
271	0.3389415148
272	0.3385945469
273	0.3383263026
274	0.3379937081
275	0.3376464091
276	0.3374303463
277	0.3372168857
278	0.3371046173
279	0.3368846113
280	0.3365550201
281	0.3362678547
282	0.3360525047
283	0.3358146195
284	0.335499191
285	0.335184169
286	0.3349169285
287	0.3346618301
288	0.3344232233
289	0.3341798811
290	0.3339312728
291	0.3337013909
292	0.333440954
293	0.333025596
294	0.3327547442
295	0.3325398064
296	0.3320377788
297	0.3318265748
298	0.331509882
299	0.3313385615
