iter	Passed	Remaining
0	16	4824
1	28	4239
2	40	3983
3	53	3971
4	67	3971
5	81	3977
6	95	3985
7	108	3959
8	121	3912
9	134	3897
10	148	3907
11	162	3903
12	175	3879
13	187	3829
14	200	3804
15	213	3793
16	227	3780
17	240	3765
18	252	3736
19	265	3717
20	279	3712
21	327	4140
22	344	4144
23	357	4108
24	371	4081
25	384	4053
26	400	4052
27	413	4020
28	426	3988
29	440	3960
30	453	3935
31	467	3911
32	482	3903
33	496	3887
34	510	3868
35	523	3838
36	536	3810
37	548	3779
38	559	3743
39	571	3717
40	584	3689
41	597	3667
42	609	3644
43	619	3605
44	632	3581
45	644	3561
46	656	3536
47	667	3503
48	681	3492
49	694	3472
50	707	3452
51	717	3422
52	729	3401
53	742	3380
54	754	3359
55	764	3331
56	776	3312
57	789	3293
58	805	3288
59	815	3261
60	826	3240
61	839	3223
62	852	3206
63	862	3182
64	874	3163
65	887	3147
66	900	3130
67	910	3106
68	922	3088
69	936	3076
70	950	3065
71	964	3053
72	975	3034
73	989	3022
74	1003	3009
75	1017	2997
76	1031	2986
77	1044	2973
78	1055	2953
79	1068	2938
80	1081	2923
81	1094	2909
82	1105	2889
83	1117	2872
84	1129	2857
85	1142	2841
86	1152	2821
87	1164	2804
88	1177	2790
89	1192	2781
90	1202	2762
91	1214	2745
92	1226	2730
93	1238	2713
94	1248	2695
95	1260	2679
96	1273	2664
97	1283	2646
98	1295	2629
99	1308	2616
100	1320	2602
101	1334	2590
102	1347	2577
103	1359	2561
104	1371	2547
105	1385	2534
106	1398	2522
107	1412	2510
108	1424	2495
109	1437	2482
110	1451	2470
111	1465	2460
112	1480	2450
113	1494	2438
114	1507	2425
115	1518	2409
116	1534	2399
117	1591	2455
118	1611	2451
119	1627	2440
120	1640	2426
121	1652	2410
122	1665	2396
123	1678	2382
124	1691	2367
125	1704	2354
126	1717	2339
127	1730	2324
128	1743	2311
129	1757	2298
130	1770	2283
131	1781	2267
132	1794	2252
133	1807	2239
134	1820	2225
135	1834	2211
136	1845	2195
137	1858	2182
138	1872	2168
139	1885	2154
140	1897	2139
141	1909	2124
142	1921	2110
143	1935	2096
144	1949	2083
145	1961	2069
146	1978	2059
147	1990	2044
148	2003	2030
149	2017	2017
150	2031	2004
151	2045	1991
152	2058	1977
153	2069	1961
154	2082	1947
155	2095	1934
156	2109	1921
157	2121	1906
158	2133	1892
159	2147	1878
160	2160	1865
161	2173	1851
162	2186	1837
163	2197	1822
164	2210	1808
165	2223	1794
166	2234	1779
167	2244	1763
168	2257	1750
169	2270	1736
170	2281	1720
171	2292	1706
172	2307	1693
173	2321	1680
174	2334	1667
175	2344	1652
176	2356	1637
177	2371	1625
178	2383	1611
179	2396	1597
180	2406	1582
181	2419	1568
182	2433	1555
183	2446	1542
184	2458	1527
185	2469	1513
186	2482	1499
187	2493	1485
188	2504	1470
189	2516	1457
190	2528	1443
191	2540	1429
192	2552	1414
193	2564	1401
194	2576	1387
195	2587	1372
196	2598	1358
197	2609	1344
198	2622	1330
199	2633	1316
200	2645	1303
201	2658	1289
202	2671	1276
203	2684	1263
204	2695	1249
205	2708	1235
206	2722	1223
207	2736	1210
208	2752	1198
209	2766	1185
210	2779	1172
211	2791	1158
212	2804	1145
213	2817	1132
214	2831	1119
215	2844	1106
216	2856	1092
217	2869	1079
218	2882	1066
219	2896	1053
220	2909	1039
221	2920	1026
222	2934	1013
223	2947	1000
224	2961	987
225	2973	973
226	2986	960
227	2999	947
228	3012	933
229	3026	921
230	3040	908
231	3052	894
232	3064	881
233	3077	867
234	3090	854
235	3103	841
236	3114	828
237	3126	814
238	3141	801
239	3153	788
240	3164	774
241	3175	761
242	3187	747
243	3199	734
244	3210	720
245	3221	707
246	3233	693
247	3244	680
248	3255	666
249	3267	653
250	3280	640
251	3291	626
252	3303	613
253	3315	600
254	3326	587
255	3336	573
256	3349	560
257	3361	547
258	3371	533
259	3382	520
260	3396	507
261	3409	494
262	3421	481
263	3432	468
264	3444	454
265	3456	441
266	3468	428
267	3479	415
268	3491	402
269	3502	389
270	3513	375
271	3526	362
272	3542	350
273	3554	337
274	3566	324
275	3577	311
276	3590	298
277	3602	285
278	3612	271
279	3624	258
280	3636	245
281	3648	232
282	3658	219
283	3670	206
284	3683	193
285	3694	180
286	3705	167
287	3716	154
288	3728	141
289	3739	128
290	3751	116
291	3764	103
292	3774	90
293	3785	77
294	3797	64
295	3810	51
296	3820	38
297	3831	25
298	3844	12
299	3855	0
