iter	Logloss
0	0.6758149443
1	0.6610205986
2	0.648547632
3	0.635040765
4	0.6257555808
5	0.6164276825
6	0.6073933988
7	0.5994735707
8	0.5925957371
9	0.585817944
10	0.5793468077
11	0.5735937973
12	0.5689256557
13	0.5644491316
14	0.5581643757
15	0.5539446015
16	0.5477965112
17	0.5426062054
18	0.5389138124
19	0.53601547
20	0.5331371246
21	0.5304094224
22	0.5266669925
23	0.5237105122
24	0.5215415665
25	0.519436815
26	0.5165134067
27	0.5147068335
28	0.5130161777
29	0.5115379306
30	0.5094795737
31	0.5076980487
32	0.506432158
33	0.5051063566
34	0.5038860441
35	0.5027934925
36	0.5006691117
37	0.4990922709
38	0.4977467379
39	0.4968551163
40	0.4961269446
41	0.4952943458
42	0.4944832732
43	0.4926302458
44	0.4917728136
45	0.4909341465
46	0.4902505582
47	0.4894807742
48	0.4884295805
49	0.4875967553
50	0.4870633417
51	0.4854340964
52	0.4845683633
53	0.4838569401
54	0.4831921742
55	0.4825813525
56	0.4820454432
57	0.4814812684
58	0.4808872154
59	0.4798454006
60	0.4784250243
61	0.4777725129
62	0.4764974907
63	0.475922725
64	0.4748439157
65	0.4742945083
66	0.4739156569
67	0.4735977454
68	0.4730978135
69	0.4724688198
70	0.4721002882
71	0.4717872321
72	0.4712912661
73	0.4707666872
74	0.4703885133
75	0.4699387452
76	0.4694905822
77	0.4688576103
78	0.4684237238
79	0.4680005938
80	0.4676492173
81	0.4672276743
82	0.4667878689
83	0.4658969778
84	0.4655025104
85	0.4650656029
86	0.4646394507
87	0.4640909566
88	0.4637189963
89	0.4632694065
90	0.4629362162
91	0.4626620875
92	0.4620865659
93	0.4618347738
94	0.4612424839
95	0.4609432511
96	0.459668086
97	0.4592568889
98	0.4589580376
99	0.4587080204
100	0.4583639369
101	0.4580619755
102	0.4576877501
103	0.4574204187
104	0.4570948719
105	0.4559807439
106	0.455718453
107	0.4554373727
108	0.4551113433
109	0.4547451555
110	0.4544399806
111	0.4539589438
112	0.4537351888
113	0.4532255125
114	0.4523006425
115	0.4520217854
116	0.4518084169
117	0.4515484416
118	0.4512758055
119	0.4509925072
120	0.4507239577
121	0.4505019369
122	0.4502935182
123	0.4501228201
124	0.4498792547
125	0.4496517085
126	0.4493233965
127	0.4487491173
128	0.448574548
129	0.4482020829
130	0.4480097439
131	0.447785876
132	0.4473231744
133	0.4470764114
134	0.4468615606
135	0.4466169152
136	0.4463867772
137	0.4460406613
138	0.4457904973
139	0.4454884205
140	0.4452665131
141	0.4450889641
142	0.4448490217
143	0.4445541893
144	0.4441356807
145	0.4438835767
146	0.4435969743
147	0.4431981975
148	0.4429377713
149	0.4426971825
150	0.4425408849
151	0.44238897
152	0.4421714994
153	0.4419530968
154	0.4414893485
155	0.4412444757
156	0.4410419342
157	0.4408261927
158	0.4406374573
159	0.4401441559
160	0.4398526912
161	0.4396827342
162	0.4394873401
163	0.4393091764
164	0.4389708241
165	0.4388024976
166	0.4384953348
167	0.4382130191
168	0.4380775299
169	0.4372578753
170	0.4371281897
171	0.4368785078
172	0.4366604487
173	0.436445155
174	0.4362057442
175	0.4360782599
176	0.4359008548
177	0.4356858625
178	0.4354784478
179	0.4352406694
180	0.4349681763
181	0.4348096743
182	0.4345824721
183	0.4342178112
184	0.433954716
185	0.4336098053
186	0.4333448305
187	0.4331914437
188	0.433024764
189	0.4328853205
190	0.4327504397
191	0.4325522724
192	0.4323415658
193	0.4321324992
194	0.4319196441
195	0.4317120037
196	0.4315275447
197	0.4313148169
198	0.4312429703
199	0.4310301551
200	0.4308319841
201	0.4306995722
202	0.4304860594
203	0.4303299185
204	0.4301184062
205	0.4298600785
206	0.4296727385
207	0.4294679708
208	0.4291887497
209	0.4290214497
210	0.4288251184
211	0.4286932956
212	0.4284874437
213	0.4282911627
214	0.4281485679
215	0.4275728476
216	0.4273402431
217	0.4271717912
218	0.426949862
219	0.4266816523
220	0.4264551222
221	0.4262914321
222	0.4260736287
223	0.4258084552
224	0.4256309807
225	0.4250889049
226	0.4248732903
227	0.4246770783
228	0.4243099406
229	0.4241279447
230	0.4238537387
231	0.4236304229
232	0.4234592518
233	0.4232328323
234	0.4230335608
235	0.4227147712
236	0.4225434296
237	0.4223675159
238	0.4221987056
239	0.421990931
240	0.4217530965
241	0.4215498947
242	0.4214138605
243	0.4212594867
244	0.4210817341
245	0.4208938528
246	0.4207721893
247	0.4205356974
248	0.4203181717
249	0.4201753809
250	0.4199956989
251	0.4198603843
252	0.4196674097
253	0.4194845963
254	0.4192552826
255	0.4191131254
256	0.4189002323
257	0.4187229131
258	0.418514648
259	0.4182458513
260	0.4180010776
261	0.4177584
262	0.4175235541
263	0.4173401195
264	0.4171718363
265	0.4169829101
266	0.4167984007
267	0.4165329149
268	0.4163492064
269	0.4161856637
270	0.416020992
271	0.4157872263
272	0.4156437957
273	0.4151632862
274	0.415006566
275	0.4147510207
276	0.4145531821
277	0.4143946465
278	0.4142513952
279	0.4140039528
280	0.4132080267
281	0.4130152139
282	0.4127906501
283	0.4125827908
284	0.4123596286
285	0.4120234084
286	0.4118366762
287	0.4116633549
288	0.4114525584
289	0.4112912831
290	0.4110882
291	0.4108796678
292	0.4107500568
293	0.4105976078
294	0.4103415623
295	0.4101829681
296	0.4100155279
297	0.4098588061
298	0.4096886829
299	0.4095527711
300	0.4094074222
301	0.4092333535
302	0.40910035
303	0.4089041926
304	0.4087644513
305	0.4085842669
306	0.4083602669
307	0.4079743354
308	0.4077550184
309	0.407541653
310	0.4072829979
311	0.4071351887
312	0.4070190993
313	0.4067713476
314	0.4066446023
315	0.4064165239
316	0.4062225327
317	0.406103586
318	0.4059612032
319	0.4057897192
320	0.4056328529
321	0.405373982
322	0.4051217752
323	0.4049633527
324	0.4046633184
325	0.4045511416
326	0.4043932813
327	0.4042770556
328	0.4041018072
329	0.4039446386
330	0.403829935
331	0.4036904512
332	0.4035663645
333	0.4034218976
334	0.4032738311
335	0.4031138366
336	0.4029022932
337	0.4027715069
338	0.4026230448
339	0.4024518749
340	0.402363086
341	0.4021999262
342	0.4020677442
343	0.4019492986
344	0.4015306578
345	0.4014028318
346	0.4012076409
347	0.4010451548
348	0.4007296825
349	0.4005536309
350	0.4004436768
351	0.4002605052
352	0.4001197754
353	0.3999418122
354	0.3997560099
