iter	Passed	Remaining
0	44	44781
1	79	39767
2	115	38540
3	151	37632
4	185	36917
5	220	36528
6	257	36497
7	291	36091
8	324	35718
9	358	35523
10	393	35372
11	434	35761
12	470	35714
13	503	35479
14	535	35186
15	572	35178
16	606	35071
17	641	34983
18	676	34923
19	711	34877
20	745	34772
21	781	34760
22	814	34604
23	856	34833
24	891	34769
25	926	34719
26	959	34579
27	1001	34761
28	1037	34746
29	1074	34741
30	1110	34714
31	1146	34690
32	1184	34705
33	1218	34607
34	1259	34731
35	1293	34642
36	1327	34562
37	1360	34444
38	1392	34310
39	1423	34159
40	1454	34030
41	1485	33886
42	1517	33771
43	1547	33631
44	1577	33481
45	1608	33353
46	1648	33428
47	1681	33340
48	1713	33260
49	1747	33197
50	1781	33154
51	1815	33101
52	1847	33007
53	1876	32875
54	1908	32787
55	1940	32708
56	1972	32637
57	2004	32553
58	2044	32605
59	2082	32631
60	2116	32587
61	2151	32553
62	2184	32496
63	2217	32432
64	2249	32358
65	2283	32309
66	2312	32206
67	2343	32113
68	2375	32054
69	2406	31969
70	2443	31972
71	2476	31915
72	2507	31836
73	2536	31740
74	2566	31658
75	2598	31596
76	2631	31547
77	2664	31497
78	2698	31457
79	2729	31390
80	2761	31326
81	2794	31281
82	2824	31204
83	2860	31197
84	2892	31133
85	2922	31062
86	2954	31004
87	2981	30897
88	3013	30849
89	3045	30795
90	3075	30724
91	3106	30662
92	3138	30608
93	3169	30547
94	3199	30481
95	3231	30425
96	3269	30440
97	3300	30375
98	3332	30332
99	3362	30262
100	3393	30205
101	3423	30137
102	3454	30087
103	3485	30031
104	3517	29984
105	3545	29903
106	3576	29849
107	3607	29798
108	3640	29760
109	3682	29796
110	3714	29749
111	3743	29682
112	3784	29703
113	3816	29658
114	3845	29593
115	3876	29543
116	3909	29506
117	3940	29456
118	3973	29419
119	4006	29382
120	4041	29362
121	4090	29437
122	4124	29409
123	4161	29400
124	4194	29358
125	4228	29331
126	4261	29295
127	4295	29263
128	4325	29206
129	4358	29171
130	4391	29132
131	4422	29082
132	4464	29102
133	4498	29070
134	4529	29020
135	4563	28993
136	4596	28955
137	4628	28912
138	4658	28857
139	4690	28812
140	4725	28786
141	4752	28717
